favorite_count,source,text,is_retweet,created_at,retweet_count
1,Twitter for Android,"b'La #monarqu\xc3\xada se burla a diario de los espa\xc3\xb1oles; es un mal para #Espa\xc3\xb1a. Su ""modelo"", falta de #Valores #degradaci\xc3\xb3n,#Nepotismo..,nos dividem y debilitan como Naci\xc3\xb3n.\nLas infantas se vacunan #covid19, por encima d #Sanitarios, FFCC del Estado, ancianos...\nhttps://t.co/3PcCdbMwIe'",False,Wed Mar 03 07:46:48 +0000 2021,0
0,Twitter for iPhone,"b'@TitusNation the CON serving CONservative GOP = Ghouls of Politics, Group of Perpetrator\xe2\x80\x99s believe in, &amp; practice in, socialism, but only for the rich &amp; \xf0\x9f\x96\x95\xf0\x9f\x8f\xbb everyone else, which has not been more pronounced then during the covid19 crisis!\n\n#GOP hypocrisy!'",False,Wed Mar 03 17:22:21 +0000 2021,0
0,Twitter for Android,b'#Coronavirus\nAustria and Denmark are to stop relying solely on the European Union for #coronavirus vaccines and begin a partnership with India https://t.co/KiDZLylrWl',False,Wed Mar 03 08:47:26 +0000 2021,0
0,Twitter Web App,b'BMC launches \xe2\x80\x98Mission Zero\xe2\x80\x99 in Mumbai again to combat COVID-19 https://t.co/ASjWlWvwtE',False,Mon Mar 01 12:23:57 +0000 2021,0
0,Twitter for iPhone,b'@Gadaffyduck @IsabelOakeshott @AmandaHolden Dude.. y\xe2\x80\x99all sound like the idiots. Y\xe2\x80\x99all believe THIS industry and the government? Have you ever read a book on either? Literally pick up any book..read about disaster capitalism.. or wmds in Iraq? They hate our freedom? Ever read about fentanyl or vioxx? https://t.co/1h2wM3rp16',False,Thu Mar 04 20:49:11 +0000 2021,0
0,Hootsuite Inc.,"b'COVID-19 Shows Need for New Nursing Home Model \xe2\x80\x94 But That Won\xe2\x80\x99t Happen Without New Operators, Investors, Design Overhauls, Capital Expenditures.\n\nhttps://t.co/q4zTwLmIi4'",False,Mon Mar 01 20:45:03 +0000 2021,0
2,Twitter for iPhone,b'what does this mean im lost https://t.co/wFZnNCvfrJ',False,Thu Mar 04 14:50:09 +0000 2021,0
1,Twitter for iPhone,b'They Are Literally Telling Yall They Clicked Up To Try Kill Us. 2+2=4 https://t.co/CbXu3mgy4Q',False,Tue Mar 02 14:11:17 +0000 2021,1
5,Twitter for iPhone,b'I have the opportunity to work with Dr. Juni during the last few months and have really appreciated the insights and perspective he brings to the table. We @THP_hospital have benefitted from his work. https://t.co/3ag6sk4zw0',False,Fri Mar 05 21:35:50 +0000 2021,0
0,Twitter Web App,"b'Guys, They\xe2\x80\x99ve put ZEKE\xe2\x80\x99S Spinal fluid into the Covid Vaccine, they are just trying to get rid of the hiding Eldians, COVID-19 WAS A MARLEYAN PLOT ALL ALONG!'",False,Sun Mar 07 02:42:48 +0000 2021,0
